passage_id,node_id,numChildren,label,Edge_id,parent_type,Parent_id,parent_edge_id,Terminal,Text,Original Refinement,Refinement2,Comments,Possible Foundational layer disputes,text_reduced,text_reduced1
39,1.68,1,D,1.2->1.68,FN,1.2,1.1->1.2,still,"[A [E [H [P Striking] [A [E an] [C average] [R of] [E [C observations] [E [A* observations] [P taken] [A [R at] [E different] [C times] ] ] ] ] ... [A* you] ] [F -] [H [P rejecting] [A [E those] [E timid] [C estimates] [E [A* estimates] [R that] [P gave] [A [E the] [C object] ] [A [E [E a] [C length] ] [R of] [E 200] [C feet] ] ] ] ... [A* you] ] [U ,] [L and] [H [P ignoring] [A [E those] [E exaggerated] [C views] [E [A* views] [R that] [P saw] [A it] [A [R as] [C [C [E a] [C mile] [E wide] ] [N and] [C [C* mile] [E three] [E long] ] ] ] ] ] ... [A* you] ] ] [F -] [C you] ] [D could] [D still] [P assert] [A [R that] [A [E this] [E phenomenal] [C creature] ] [D greatly] [P exceeded] [A [E the] [C dimensions] [R of] [E [C anything] [E [A* anything] [T then] [P known] [A [R to] [C ichthyologists] ] ] ] ] ]",aspectual,aspectual,,,[A][D][D][P][A],ADDPA
41,1.46,2,D,1.44->1.46,FN,1.44,1.1->1.44,[R at] [C first],[A Captain Baker] [D [R at] [C first] ] [P thought] [A [A he] [F was] [S [R in] [E the] [C presence] ] [A [R of] [E an] [E unknown] [C reef] ] ],aspectual,aspectual,,,[A][D][P][A],ADPA
47,1.206,2,D,1.182->1.206,FN,1.182,1.1->1.182,for good,"[A [R in] [E a] [E [E much] [U -] [C feared] ] [E satirical] [C journal] ] [U ,] [A [E an] [C article] [E [R by] [E its] [E most] [E popular] [C columnist] ] ] [P finished off] [A [E the] [C monster] ] [D for good]",aspectual,aspectual,,,[A][U][A][P][A][D],AAPAD
50,1.19,1,D,1.16->1.19,FN,1.16,1.1->1.16,beginning,[A day] [F was] [D beginning] [F to] [P break],aspectual,aspectual,,,[A][F][D][F][P],ADP
52,1.139,1,D,1.129->1.139,FN,1.129,1.124->1.129,just,[A* Cunard Co] [R whose] [A [E [E mail] [U -] [C carrying] ] [C charter] ] [F had] [D just] [F been] [P renewed],aspectual,aspectual,,,[A*C][R][A][F][D][F][P],A*ADP
52,1.2,1,D,1.195->1.200,FN,1.195,1.189->1.195,ever,[A* ships] [S [C* ships] [E the] [E biggest] ] [D ever] [A [A* ships] [F to] [P plow] [A [E the] [C seas] ] ],aspectual,"aspectual,comparative?",,,[A*][S][D][A],A*SDA
53,1.131,1,D,1.129->1.131,FN,1.129,1.1->1.129,still,[A passengers] [D still] [P choose] [A [E the] [E Cunard] [C line] [E [R in preference to] [E all] [C others] ] ],aspectual,aspectual,,,[A][D][P][A],ADPA
292,1.108,1,D,1.103->1.108,FN,1.103,1.96->1.103,will,[A* ram] [R which] [D [R in] [C turn] ] [D will] [P lead] [A [R to] [A [E the] [C world] ] [P putting its foot down] ],aspectual,should be be F,,should be F,[A*][R][D][D][P][A],A*DDPA
292,1.126,1,D,1.123->1.126,FN,1.123,1.120->1.123,will,[P IMPLICIT] [A it] [D will] [U .],aspectual,should be be F,,should be F,[P][A][D][U,PAD
294,1.49,1,D,1.37->1.49,FN,1.37,1.1->1.37,ultimately,[A IMPLICIT] [A [E [E the] [C hypothesis] [R of] ] [E an] [E underwater] [C Monitor] ] [F was] [D ultimately] [P rejected] [U .],aspectual,aspectual,,,[A][A][F][D][P][U,AADP
297,1.11,1,D,1.7->1.11,FN,1.7,1.1->1.7,longer,[A I] [D could] [D no] [D longer] [P hold my tongue],aspectual,aspectual,"for ""no longer"" : no should be negation and longer should be aspectual? should it also be comparative?",,[A][D][D][D][P],ADDDP
