sent_id,d-unit,sentence,Annotator 1,comments,Annotator 2,FL corrections,justification / alternatives / notes
20003001,a high percentage,"A form of asbestos once used to make Kent cigarette filters has caused a high percentage [P of cancer deaths] among a group of workers exposed to it more than 30 years ago, researchers reported.",quantity + degree,,Quantity +Degree,,"Degree for ""high"""
20003001,once,"A form of asbestos once [used P] to make Kent cigarette filters has caused a high percentage of cancer deaths among a group of workers exposed to it more than 30 years ago, researchers reported.",aspectual,,Frequency,"I think this is a non-frequency reading of ""once"" (meaning ""in the past"") and should really be T in FL.",
20003001,caused,"A form of asbestos once used to make Kent cigarette filters [F has] caused a high percentage [P of cancer deaths] among a group of workers exposed to it more than 30 years ago, researchers reported.",causal,,Condition,,
20003002,unusually,"The asbestos fiber, crocidolite, is unusually [resilient S] once it enters the lungs, with even brief exposures to it causing symptoms that show up decades later, researchers said.",description,,Degree,,
20003002,[E even] [C brief],"The asbestos fiber, crocidolite, is unusually resilient once it enters the lungs, with even brief [exposures P] to it causing symptoms that show up decades later, researchers said.",aspectual,,Aspectual,"""brief"" seems like a pretty standard duration, and I think ""even"" has higher scope, so I would annotate [even D-Possibility?] [brief T]",
20003003,stopped,"Lorillard Inc., the unit of New York-based Loews Corp. that makes Kent cigarettes, stopped [using P] crocidolite in its Micronite cigarette filters in 1956.",aspectual,,Aspectual,,
20003007,no,"[There S] is no asbestos in our products now.""",negation,,Negation,,
20003009,no,"We [have S] no useful information on whether users are at risk, said James A. Talcott of Boston's Dana-Farber Cancer Institute.",negation,,Negation,,
20003011,in R very E modest C amounts C **modest is also a State,"The Lorillard spokeswoman said asbestos was [used P] in ""very modest amounts"" in making paper for the filters in the early 1950s and replaced with a different type of filter in 1956.",quantity+degree,,Quantity +Degree,"I think this should probably be an E to ""asbestos"" rather than a D","Degree for ""very modest"""
20003011,the in 1950s early,"The Lorillard spokeswoman said asbestos was used in ""very modest amounts"" in [making P] paper for the filters in the early 1950s and replaced with a different type of filter in 1956.",,not Time?,Aspectual,should be T,
20003013,closely,"Among 33 men who [worked P] closely with the substance, 28 have died -- more than three times the expected number.",description,,Description,,
20003015,malignant,"The total of 18 deaths from malignant [mesothelioma P], lung cancer and asbestosis was far higher than expected, the researchers said.",description,,Description,,
20003015,far,"The total of 18 deaths from malignant mesothelioma, lung cancer and asbestosis was far [higher S] than expected, the researchers said.",degree,,Degree,,
20003015,18,"The total of 18 [deaths P] from malignant mesothelioma, lung cancer and asbestosis was far higher than expected, the researchers said.",quantity,,Quantity,,
20003016,finding,"The [morbidity P] rate is a [striking S] finding among those of us who study asbestos-related diseases, said Dr. Talcott.",support,"the general structure of X is a [adj] Y, the Y is often a D, and a nominal, sometimes it has semantic content ('reason', 'result'), sometimes it has not much semantic content ('occurrence','sight'), how to distinguish them? Should 'finding' here be a process? if it's a D, should it be support or description?",Support,,
20003016,rate,"The [morbidity P] rate is a [striking S] finding among those of us who study asbestos-related diseases, said Dr. Talcott.",description,the rate of morbidity...' not sure what category it is,Quantity,,Evokes the concept of the Quantity of deaths without stating the exact number. Chose Quantity over Frequency/Aspectual since time and temporal order seems less important.
20003017,appears,"The percentage of lung cancer deaths among the workers at the West Groton, Mass., paper factory appears to be the [highest S] for any asbestos workers studied in Western industrialized countries, he said.",support,,Possibility,,
20003019,probably,"The finding probably will [support P] those who argue that the U.S. should regulate the class of asbestos including crocidolite more stringently than the common kind of asbestos, chrysotile, found in most schools and other buildings, Dr. Talcott said.",possibility,,Possibility,,
20003019,more stringently,"The finding probably will support those who argue that the U.S. should [regulate P] the class of asbestos including crocidolite more stringently than the common kind of asbestos, chrysotile, found in most schools and other buildings, Dr. Talcott said.",comparison + description,,Description +Comparative,,"Could also be Degree +Comparative, if we read ""stringently"" as specifying the Degree of ""regulate"""
20003019,should,"The finding probably will support those who argue that the U.S. should [regulate P] the class of asbestos including crocidolite more stringently than the common kind of asbestos, chrysotile, found in most schools and other buildings, Dr. Talcott said.",possibility,,Possibility,,
20003020,a higher standard,"The U.S. is one of the few industrialized nations that doesn't [have S] a higher standard of regulation for the smooth, needle-like fibers such as crocidolite that are classified as amphobiles, according to Brooke T. Mossman, a professor of pathlogy at the University of Vermont College of Medicine.",comparison + description,,Description +Comparative,"""regulation"" should be main scene evoker, ""have"" should be F or D-Support",
20003020,n't,"The U.S. is one of the few industrialized nations that doesn't [have S] a higher standard of regulation for the smooth, needle-like fibers such as crocidolite that are classified as amphobiles, according to Brooke T. Mossman, a professor of pathlogy at the University of Vermont College of Medicine.",negation,,Negation,,
20003021,more easily,"More common chrysotile fibers are curly and are more easily [rejected P] by the body, Dr. Mossman explained.",comparison + description,,Description +Comparative,,"Could also be Possibility +Comparative, if we read ""easily"" as specifying some degree of Possibility of ""reject"""
20003021,More,"More [common S] chrysotile fibers are curly and are more easily rejected by the body, Dr. Mossman explained.",comparison ,,Comparative,,
20003022,gradual,"In July, the Environmental Protection Agency imposed a gradual [ban P] on virtually all uses of asbestos.",description,,Description,,Could also be Aspectual?
20003025,particularly,Areas of the factory were particularly [dusty S] where the crocidolite was used.,description,,Degree,,"Could also be Comparative? (""more than otherwise"")"
20003026,mechanically,"Workers dumped large burlap sacks of the imported material into a huge bin, poured in cotton and acetate fibers and mechanically [mixed  P] the dry fibers in a process used to make filters.",description,,Description,,
20003028,no,"There's no [question S] that some of those workers and managers contracted asbestos-related diseases, said Darrell Phillips, vice president of human resources for Hollingsworth & Vose.",negation,,Negation,,
20003029,35 years ago,But you have to recognize that these events [took place P] 35 years ago.      ,aspectual,,Aspectual,should be T,
20003029,have to,But you have to [recognize P] that these events took place 35 years ago.,possibility,,Possibility,,
20003030,no,It [has S...] no [bearing ...S] on our work force today.,negation,,Negation,,
20004001,continued,"Yields on money-market mutual funds continued [to slide P], amid signs that portfolio managers expect further declines in interest rates.",aspectual,,Aspectual,,
20004001,further,"Yields on money-market mutual funds continued to slide, amid signs that portfolio managers expect further [declines P] in interest rates.",comparison+degree,,Aspectual,,Borderline Frequency? Maybe easier to unify these two categories?
20004002,average,The average seven-day compound [yield P] of the 400 taxable funds tracked by IBC's Money Fund Report eased a fraction of a percentage point to 8.45% from 8.47% for the week ended Tuesday.,description,,Description,,"""average"" in this and other examples seems to quantify and aggregate over a set of multiple events of the same type. Not sure we have a good category for that. defaulting to Description"
20004002,week for the ended . week Tuesday,The average seven-day compound yield of the 400 taxable funds tracked by IBC's Money Fund Report [eased P] a fraction of a percentage point to 8.45% from 8.47% for the week ended Tuesday.,aspectual,,Aspectual,"Interesting temporal specification; almost seems like Participant, since it's not the time of the event but rather the time period as the ""Topic"" the event scopes over",
20004004,by a day,"Average maturity of the funds' investments [lengthened P] by a day to 41 days, the longest since early August, according to Donoghue's.",aspectual+comparison,,Degree,,How much did it lengthen?
20004004,Average,"Average [maturity S] of the funds' investments lengthened by a day to 41 days, the longest since early August, according to Donoghue's.",description,,Description?,,
20004005,relatively,Longer maturities are thought to indicate declining interest rates because they permit portfolio managers to retain relatively [higher S] rates for a longer period.,description,,Comparative,,
20004005,thought,Longer maturities are thought to [indicate P] declining interest rates because they permit portfolio managers to retain relatively higher rates for a longer period.,possibility,,Possibility,,
20004006,can,Shorter maturities are considered a sign of rising rates because portfolio managers can [capture P] higher rates sooner.,possibility,,Possibility,,
20004007,average,"The average [maturity S] for funds open only to institutions, considered by some to be a stronger indicator because those managers watch the market closely, reached a high point for the year -- 33 days.",description,,Description,,
20004007,closely,"The average maturity for funds open only to institutions, considered by some to be a stronger indicator because those managers [watch P] the market closely, reached a high point for the year -- 33 days.",description,,Description,,
20004007,only,"The average maturity for funds [open S] only to institutions, considered by some to be a stronger indicator because those managers watch the market closely, reached a high point for the year -- 33 days.",degree,,Degree,,
20004008,again,"Nevertheless, said Brenda Malizia Negus, editor of Money Fund Report, yields ""may [blip up P] again before they blip down"" because of recent rises in short-term interest rates.",aspectual,,Frequency,,
20004008,may,"Nevertheless, said Brenda Malizia Negus, editor of Money Fund Report, yields ""may [blip up P] again before they blip down"" because of recent rises in short-term interest rates.",possibility,,Possibility,,
20004009,for example,"The yield on six-month Treasury bills sold at Monday's auction, for example, [rose P] to 8.04% from 7.90%.",description,linker?,Possibility,should be G,
20004010,continue,"Despite recent declines in yields, investors continue [to pour P] cash into money funds.",aspectual,,Aspectual,,
20004010,declines,"Despite recent declines [in yields P], investors continue to pour cash into money funds.",description,"""yields are on a decline""",Comparative,,secondary predication? Comparative reading: smaller yields [than before]
20004011,during the latest week,"Assets of the 400 taxable funds [grew P] by $1.5 billion during the latest week, to $352.7 billion.",aspectual,,Aspectual,should be T?,
20004012,can,"Typically, money-fund yields beat comparable short-term investments because portfolio managers can [vary P] maturities and go after the highest rates.",possibility,,Possibility,,
20004014,during the latest week,"Dreyfus World-Wide Dollar, the top-yielding fund, [had a P...] seven-day compound [yield ...P] of 9.37% during the latest week, down from 9.45% a week earlier.",aspectual,,Aspectual,should be T?,
