passge_id	node_id	numChildren	edge_tag	edge_id	edge
36	1.4	2 	E	1.3->1.4	[E The] [C year] 
36	1.5	1 	E	1.4->1.5	The
36	1.13	1 	E	1.12->1.13	a
36	1.14	1 	E	1.12->1.14	bizarre
36	1.18	1 	E	1.17->1.18	an
36	1.19	3 	E	1.17->1.19	[C unexplained] [N and] [C [E downright] [C inexplicable] ] 
36	1.23	1 	E	1.22->1.23	downright
36	1.26	6 	E	1.17->1.26	[A* phenomenon] [R that] [G surely] [A [E no] [C one] ] [F has] [P forgotten] 
36	1.30	1 	E	1.29->1.30	no
36	1.35	1 	D	1.36->1.35	Without
36	1.40	1 	E	1.38->1.40	those
36	1.42	4 	E	1.38->1.42	[R that] [H [A* rumors] [P upset] [A civilians] [A [R in] [E the] [C seaports] ] ] [L and] [H [A* rumors] [P deranged] [A [E the] [E public] [C mind] ] [G even] [A [E far] [C inland] ] ] 
36	1.49	1 	E	1.47->1.49	the
36	1.55	1 	E	1.54->1.55	the
36	1.56	1 	E	1.54->1.56	public
36	1.60	1 	E	1.59->1.60	far
36	1.68	1 	E	1.67->1.68	professional
36	1.71	1 	D	1.63->1.71	especially
36	1.85	1 	E	1.82->1.85	vessels
36	1.91	1 	E	1.90->1.91	master
36	1.93	2 	E	1.76->1.93	[R from] [C [C Europe] [N and] [C America] ] 
36	1.101	1 	E	1.100->1.101	naval
36	1.103	3 	E	1.100->1.103	[R from] [E every] [C country] 
36	1.105	1 	E	1.103->1.105	every
36	1.112	1 	E	1.111->1.112	the
36	1.113	1 	E	1.111->1.113	various
36	1.114	1 	E	1.111->1.114	national
36	1.116	4 	E	1.111->1.116	[R on] [E these] [E two] [C continents] 
36	1.118	1 	E	1.116->1.118	these
36	1.119	1 	E	1.116->1.119	two
36	1.124	1 	D	1.74->1.124	extremely
36	1.128	1 	E	1.126->1.128	the
37	1.7	3 	E	1.5->1.7	[E a] [C period] [R of] 
37	1.8	1 	E	1.7->1.8	a
37	1.13	1 	E	1.12->1.13	several
37	1.19	1 	E	1.18->1.19	an
37	1.20	1 	E	1.18->1.20	enormous
37	1.27	8 	E	1.18->1.27	[E a] [E long] [E [E spindle] [U -] [C shaped] ] [C object] [U ,] [E [A* object] [T sometimes] [P giving off] [A [E a] [E phosphorescent] [C glow] ] ] [U ,] [E [A* object] [D infinitely] [S [C bigger] [N and] [C faster] ] [A [R than] [E any] [C whale] [U .] ] ] 
37	1.28	1 	E	1.27->1.28	a
37	1.29	1 	E	1.27->1.29	long
37	1.30	3 	E	1.27->1.30	[E spindle] [U -] [C shaped] 
37	1.31	1 	E	1.30->1.31	spindle
37	1.36	4 	E	1.27->1.36	[A* object] [T sometimes] [P giving off] [A [E a] [E phosphorescent] [C glow] ] 
37	1.40	1 	E	1.39->1.40	a
37	1.41	1 	E	1.39->1.41	phosphorescent
37	1.44	4 	E	1.27->1.44	[A* object] [D infinitely] [S [C bigger] [N and] [C faster] ] [A [R than] [E any] [C whale] [U .] ] 
37	1.45	1 	D	1.44->1.45	infinitely
37	1.52	1 	E	1.50->1.52	any
38	1.5	1 	E	1.3->1.5	The
38	1.6	1 	E	1.3->1.6	relevant
38	1.8	3 	E	1.3->1.8	[R on] [E this] [C apparition] 
38	1.10	1 	E	1.8->1.10	this
38	1.13	4 	E	1.3->1.13	[A* data] [R as] [P recorded] [A [R in] [E various] [C logbooks] ] 
38	1.18	1 	E	1.16->1.18	various
38	1.22	2 	D	1.2->1.22	[E pretty] [C closely] 
38	1.23	1 	E	1.22->1.23	pretty
38	1.29	1 	E	1.28->1.29	the
38	1.32	3 	E	1.28->1.32	[E the] [C [C object] [N or] [C creature] ] [E [E in] [C question] ] 
38	1.33	1 	E	1.32->1.33	the
38	1.38	2 	E	1.32->1.38	[E in] [C question] 
38	1.39	1 	E	1.38->1.39	in
38	1.43	1 	E	1.42->1.43	its
38	1.44	1 	E	1.42->1.44	unprecedented
38	1.48	1 	E	1.42->1.48	movement
38	1.51	1 	E	1.50->1.51	its
38	1.52	1 	E	1.50->1.52	startling
38	1.54	1 	E	1.50->1.54	locomotive
38	1.59	1 	E	1.58->1.59	the
38	1.60	1 	E	1.58->1.60	unique
38	1.62	7 	E	1.58->1.62	[A* vitality] [R with which] [A it] [G seemed] [F to] [F be] [S gifted] 
38	1.75	1 	E	1.74->1.75	a
38	1.81	2 	D	1.78->1.81	in bulk
38	1.83	1 	E	1.82->1.83	any
38	1.85	4 	E	1.82->1.85	[A* whale] [T previously] [P classified] [A [R by] [C science] ] 
38	1.95	1 	E	1.93->1.95	No
38	1.98	3 	E	1.93->1.98	[C [N neither] [C Cuvier] [N nor] [C Lacépède] ] [U ,] [C [N neither] [C Professor Dumeril] [N nor] [C Professor de Quatrefages] ] 
38	1.111	1 	D	1.92->1.111	would
38	1.116	1 	E	1.115->1.116	the
38	1.123	1 	E	1.122->1.123	such
38	1.124	1 	E	1.122->1.124	a
38	1.129	5 	E	1.118->1.129	[A* monster] [G specifically] [U ,] [S unseen] [A [R by] [E their] [E own] [E scientific] [C eyes] [U .] ] 
38	1.135	1 	E	1.133->1.135	their
38	1.136	1 	E	1.133->1.136	own
38	1.137	1 	E	1.133->1.137	scientific
39	1.4	6 	E	1.3->1.4	[H [P Striking] [A [E an] [C average] [R of] [E [C observations] [E [A* observations] [P taken] [A [R at] [E different] [C times] ] ] ] ] ... [A* you] ] [F -] [H [P rejecting] [A [E those] [E timid] [C estimates] [E [A* estimates] [R that] [P gave] [A [E the] [C object] ] [A [E [E a] [C length] ] [R of] [E 200] [C feet] ] ] ] ... [A* you] ] [U ,] [L and] [H [P ignoring] [A [E those] [E exaggerated] [C views] [E [A* views] [R that] [P saw] [A it] [A [R as] [C [C [E a] [C mile] [E wide] ] [N and] [C [C* mile] [E three] [E long] ] ] ] ] ] ... [A* you] ] 
39	1.8	1 	E	1.7->1.8	an
39	1.11	2 	E	1.7->1.11	[C observations] [E [A* observations] [P taken] [A [R at] [E different] [C times] ] ] 
39	1.13	3 	E	1.11->1.13	[A* observations] [P taken] [A [R at] [E different] [C times] ] 
39	1.17	1 	E	1.15->1.17	different
39	1.23	1 	E	1.22->1.23	those
39	1.24	1 	E	1.22->1.24	timid
39	1.26	5 	E	1.22->1.26	[A* estimates] [R that] [P gave] [A [E the] [C object] ] [A [E [E a] [C length] ] [R of] [E 200] [C feet] ] 
39	1.30	1 	E	1.29->1.30	the
39	1.33	2 	E	1.32->1.33	[E a] [C length] 
39	1.34	1 	E	1.33->1.34	a
39	1.38	1 	E	1.32->1.38	200
39	1.45	1 	E	1.44->1.45	those
39	1.46	1 	E	1.44->1.46	exaggerated
39	1.48	5 	E	1.44->1.48	[A* views] [R that] [P saw] [A it] [A [R as] [C [C [E a] [C mile] [E wide] ] [N and] [C [C* mile] [E three] [E long] ] ] ] 
39	1.57	1 	E	1.55->1.57	a
39	1.59	1 	E	1.55->1.59	wide
39	1.63	1 	E	1.61->1.63	three
39	1.64	1 	E	1.61->1.64	long
39	1.67	1 	D	1.2->1.67	could
39	1.68	1 	D	1.2->1.68	still
39	1.73	1 	E	1.72->1.73	this
39	1.74	1 	E	1.72->1.74	phenomenal
39	1.76	1 	D	1.70->1.76	greatly
39	1.79	1 	E	1.78->1.79	the
39	1.82	2 	E	1.78->1.82	[C anything] [E [A* anything] [T then] [P known] [A [R to] [C ichthyologists] ] ] 
39	1.84	4 	E	1.82->1.84	[A* anything] [T then] [P known] [A [R to] [C ichthyologists] ] 
40	1.14	1 	E	1.13->1.14	an
40	1.15	1 	D	1.10->1.15	undeniable
40	1.22	1 	E	1.21->1.22	the
40	1.23	1 	E	1.21->1.23	human
40	1.31	1 	E	1.26->1.31	wonder
40	1.35	1 	D	1.33->1.35	can
40	1.38	1 	E	1.37->1.38	the
40	1.39	1 	E	1.37->1.39	worldwide
40	1.41	3 	E	1.37->1.41	[A* excitement] [P caused] [A [A IMPLICIT] [R by] [P [E this] ... [C apparition] ] [D unearthly] ] 
40	1.47	1 	E	1.46->1.47	this
40	1.48	1 	D	1.43->1.48	unearthly
40	1.58	1 	E	1.56->1.58	the
40	1.62	1 	E	1.56->1.62	fiction
40	1.66	1 	E	1.65->1.66	that
40	1.68	2 	D	1.64->1.68	had to
41	1.13	2 	E	1.12->1.13	[E the] [C steamer] 
41	1.14	1 	E	1.13->1.14	the
41	1.18	4 	E	1.12->1.18	[R from] [E the] [C Calcutta ... Burnach Steam Navigation Co] [U &] 
41	1.20	1 	E	1.18->1.20	the
41	1.27	1 	E	1.26->1.27	this
41	1.28	2 	E	1.26->1.28	[P moving] [A* mass] 
41	1.32	3 	E	1.31->1.32	[E five] [C miles] [R off] 
41	1.33	1 	E	1.32->1.33	five
41	1.37	1 	E	1.31->1.37	the
41	1.38	1 	E	1.31->1.38	eastern
41	1.42	1 	E	1.31->1.42	Australia
41	1.46	2 	D	1.44->1.46	[R at] [C first] 
41	1.55	1 	E	1.53->1.55	the
41	1.59	1 	E	1.57->1.59	an
41	1.60	1 	E	1.57->1.60	unknown
41	1.66	2 	E	1.65->1.66	[F was] ... [C about] 
41	1.73	1 	E	1.72->1.73	its
41	1.74	1 	E	1.72->1.74	exact
41	1.79	1 	E	1.78->1.79	two
41	1.85	1 	E	1.82->1.85	this
41	1.86	1 	E	1.82->1.86	inexplicable
41	1.92	1 	E	1.90->1.92	hissing
41	1.95	1 	E	1.93->1.95	the
41	1.98	1 	E	1.97->1.98	some
41	1.99	1 	E	1.97->1.99	150
41	1.107	1 	E	1.106->1.107	this
41	1.114	1 	E	1.113->1.114	the
41	1.115	1 	D	1.111->1.115	intermittent
41	1.119	1 	E	1.117->1.119	a
41	1.124	2 	E	1.123->1.124	[E the] [C Governor] 
41	1.125	1 	E	1.124->1.125	the
41	1.129	3 	D	1.122->1.129	[C [E fair] ... [C* dealings] ] [N and] [C honest] 
41	1.131	1 	E	1.130->1.131	fair
41	1.137	1 	E	1.135->1.137	some
41	1.138	1 	E	1.135->1.138	aquatic
41	1.141	4 	E	1.135->1.141	[A IMPLICIT] [A* mammal] [T [E until] [C then] ] [P unknown] 
41	1.144	1 	E	1.143->1.144	until
41	1.148	6 	E	1.135->1.148	[A* mammal] [R that] [D could] [P spurt] [A [R from] [E its] [C blowholes] ] [A [C waterspouts] [E [A IMPLICIT] [A* waterspouts] [P mixed] [A [R with] [C [C air] [N and] [C steam] [U .] ] ] ] ] 
41	1.150	1 	D	1.148->1.150	could
41	1.154	1 	E	1.152->1.154	its
