passge_id	node_id	numChildren	edge_tag	edge_id	edge	composite	simple_adverb	negation	modal_aux	word_count	adjective	discontinuous
36	1.35	1 	D	1.36->1.35	Without	0	0	0	0	1		
36	1.71	1 	D	1.63->1.71	especially	0	1	0	0	1		
36	1.124	1 	D	1.74->1.124	extremely	0	1	0	0	1		
37	1.45	1 	D	1.44->1.45	infinitely	0	1	0	0	1		
38	1.22	2 	D	1.2->1.22	[E pretty] [C closely] 	1	0	0	0	4		
38	1.81	2 	D	1.78->1.81	in bulk	0	0	0	0	2		
38	1.111	1 	D	1.92->1.111	would	0	0	0	1	1		
39	1.67	1 	D	1.2->1.67	could	0	0	0	1	1		
39	1.68	1 	D	1.2->1.68	still	0	0	0	0	1		
39	1.76	1 	D	1.70->1.76	greatly	0	1	0	0	1		
40	1.15	1 	D	1.10->1.15	undeniable	0	0	0	0	1		
40	1.35	1 	D	1.33->1.35	can	0	0	0	0	1		
40	1.48	1 	D	1.43->1.48	unearthly	0	1	0	0	1		
40	1.68	2 	D	1.64->1.68	had to	0	0	0	0	2		
41	1.46	2 	D	1.44->1.46	[R at] [C first] 	1	0	0	0	4		
41	1.115	1 	D	1.111->1.115	intermittent	0	0	0	0	1		
41	1.129	3 	D	1.122->1.129	[C [E fair] ... [C* dealings] ] [N and] [C honest] 	1	0	0	0	10		
41	1.150	1 	D	1.148->1.150	could	0	0	0	1	1		
42	1.7	1 	D	1.2->1.7	likewise	0	0	0	0	1		
42	1.40	1 	D	1.35->1.40	could	0	0	0	1	1		
42	1.51	3 	D	1.35->1.51	[R with] [E startling] [C swiftness] 	1	0	0	0	6		
43	1.54	1 	D	1.2->1.54	respectively	0	1	0	0	1		
43	1.94	1 	D	1.85->1.94	able	0	0	0	0	1		
44	1.3	3 	D	1.2->1.3	[C One] [R after] [C another] 	1	0	1	0	6		
44	1.15	1 	D	1.12->1.15	profoundly	0	1	0	0	1		
44	1.68	2 	D	1.67->1.68	dead ... earnest	0	0	0	0	3		
44	1.116	1 	D	1.99->1.116	deeply	0	1	0	0	1		
45	1.114	1 	D	1.111->1.114	could	0	0	0	1	1		
47	1.13	3 	D	1.12->1.13	[R With] [E inexhaustible] [C zest] 	1	0	0	0	6		
47	1.22	1 	D	1.12->1.22	took	0	0	0	0	1		
47	1.106	1 	D	1.103->1.106	n't	0	0	1	0	1		
47	1.124	2 	D	1.122->1.124	[R in] [C essence] 	1	0	0	0	4		
47	1.132	1 	D	1.127->1.132	n't	0	0	1	0	1		
47	1.206	2 	D	1.182->1.206	for good	0	0	0	0	2		
47	1.245	1 	D	1.240->1.245	universal	0	0	0	0	1		
48	1.28	1 	D	1.25->1.28	n't	0	0	1	0	1		
48	1.54	2 	D	1.50->1.54	[E no] [C longer] 	1	0	1	0	4		
48	1.93	2 	D	1.88->1.93	[E entirely] [C new] 	1	0	0	0	4		
48	1.101	1 	D	1.97->1.101	again	0	0	0	0	1		
49	1.62	1 	D	1.58->1.62	combined	0	0	0	0	1		
