passge_id	node_id	numChildren	edge_tag	edge_id	edge	composite	simple_adverb	negation	modal_aux	word_count	adjective	discontinuous
77	1.27	1 	D	1.24->1.27	n'	0	0	0	0	1		
77	1.29	2 	D	1.24->1.29	[E sans] [C doute] 	1	0	0	0	4		
77	1.34	1 	D	1.35->1.34	Sans	0	0	0	0	1		
77	1.75	1 	D	1.66->1.75	particulièrement	0	0	0	0	1		
77	1.142	5 	D	1.78->1.142	[R au] [E plus] [E haut] [C point] [U .] 	1	0	0	0	10		
78	1.41	1 	D	1.40->1.41	infiniment	0	0	0	0	1		
79	1.25	2 	D	1.2->1.25	[E assez] [C exactement] 	1	0	0	0	4		
79	1.53	1 	D	1.49->1.53	inouïe	0	0	1	0	1		
79	1.63	1 	D	1.59->1.63	surprenante	0	0	0	0	1		
79	1.122	1 	D	1.107->1.122	n'	0	0	0	0	1		
79	1.137	2 	D	1.136->1.137	[C à moins] [R de] 	1	0	0	0	5		
80	1.72	1 	D	1.70->1.72	pouvait	0	0	0	0	1		
80	1.84	2 	D	1.77->1.84	[E de] [C beaucoup] 	1	0	0	0	4		
80	1.107	1 	D	1.104->1.107	toutefois	0	0	0	0	1		
81	1.17	2 	D	1.8->1.17	n' ... plus	0	0	0	0	3		
81	1.72	1 	D	1.69->1.72	fallait	0	0	0	0	1		
82	1.49	2 	D	1.43->1.49	se crut	0	0	0	0	2		
82	1.67	1 	D	1.62->1.67	même	0	0	0	0	1		
82	1.95	2 	D	1.78->1.95	[R en] [C sifflant] 	1	0	0	0	4		
82	1.115	1 	D	1.111->1.115	ne	0	0	0	0	1		
82	1.122	1 	D	1.118->1.122	intermittentes	0	0	0	0	1		
82	1.135	3 	D	1.128->1.135	bel et bien	0	0	0	0	3		
83	1.7	1 	D	1.2->1.7	également	0	0	0	0	1		
83	1.43	1 	D	1.38->1.43	pouvait	0	0	0	0	1		
84	1.41	2 	D	1.38->1.41	[R à] [C contrebord] 	1	0	0	0	4		
84	1.66	1 	D	1.2->1.66	respectivement	0	0	0	0	1		
84	1.106	1 	D	1.105->1.106	pouvoir	0	0	0	0	1		
84	1.135	2 	D	1.125->1.135	[R de] [C dimension] 	1	0	0	0	4		
84	1.166	1 	D	1.165->1.166	plus	0	0	0	0	1		
84	1.190	1 	D	1.162->1.190	n'	0	0	0	0	1		
85	1.9	3 	D	1.4->1.9	[C coup] [R sur] [C coup] 	1	0	0	0	6		
85	1.100	1 	D	1.2->1.100	profondément	0	0	0	0	1		
85	1.148	1 	D	1.123->1.148	vivement	0	0	0	0	1		
86	1.123	1 	D	1.119->1.123	peuvent	0	0	0	0	1		
86	1.222	1 	D	1.216->1.222	ne	0	0	0	0	1		
86	1.223	1 	D	1.216->1.223	peut	0	0	0	0	1		
86	1.255	1 	D	1.253->1.255	n'	0	0	0	0	1		
87	1.47	1 	D	1.45->1.47	font	0	0	0	0	1		
87	1.60	1 	D	1.58->1.60	font	0	0	0	0	1		
87	1.117	1 	D	1.114->1.117	plus	0	0	0	0	1		
88	1.153	2 	D	1.147->1.153	ne ... pas	0	0	0	0	3		
88	1.170	2 	D	1.167->1.170	ne point	0	0	0	0	2		
88	1.238	1 	D	1.235->1.238	plus	0	0	0	0	1		
88	1.280	1 	D	1.276->1.280	universel	0	0	0	0	1		
89	1.20	1 	D	1.2->1.20	parut	0	0	0	0	1		
89	1.27	2 	D	1.25->1.27	ne ... pas	0	0	0	0	3		
89	1.29	1 	D	1.25->1.29	devoir	0	0	0	0	1		
89	1.50	2 	D	1.48->1.50	ne ... plus	0	0	0	0	3		
89	1.53	1 	D	1.48->1.53	alors	0	0	0	0	1		
90	1.52	1 	D	1.47->1.52	ne	0	0	0	0	1		
90	1.65	1 	D	1.60->1.65	combiné	0	0	0	0	1		
90	1.110	1 	D	1.88->1.110	ne	0	0	0	0	1		
91	1.21	1 	D	1.17->1.21	commençait	0	0	0	0	1		
91	1.58	1 	D	1.56->1.58	ne	0	0	0	0	1		
91	1.85	1 	D	1.77->1.85	violemment	0	0	0	0	1		
91	1.96	1 	D	1.88->1.96	exactement	0	0	0	0	1		
91	1.108	1 	D	1.109->1.108	sans	0	0	0	0	1		
91	1.111	1 	D	1.109->1.111	apparentes	0	0	0	0	1		
91	1.136	1 	D	1.134->1.136	ne	0	0	0	0	1		
91	1.137	1 	D	1.134->1.137	put	0	0	0	0	1		
92	1.8	1 	D	1.7->1.8	extrêmement	0	0	0	0	1		
92	1.34	1 	D	1.27->1.34	ne	0	0	0	0	1		
92	1.64	1 	D	1.59->1.64	nouvel	0	0	1	0	1		
92	1.95	1 	D	1.45->1.95	immense	0	0	0	0	1		
93	1.4	1 	D	1.2->1.4	n'	0	0	0	0	1		
93	1.150	1 	D	1.137->1.150	venait	0	0	0	0	1		
93	1.156	1 	D	1.126->1.156	successivement	0	0	0	0	1		
93	1.211	1 	D	1.201->1.211	jamais	0	0	0	0	1		
94	1.22	1 	D	1.18->1.22	bien	0	0	0	0	1		
94	1.52	1 	D	1.51->1.52	Nulle	0	0	0	0	1		
94	1.59	1 	D	1.51->1.59	n'	0	0	0	0	1		
94	1.70	1 	D	1.69->1.70	nulle	0	0	0	0	1		
94	1.72	1 	D	1.69->1.72	n'	0	0	0	0	1		
94	1.151	1 	D	1.144->1.151	encore	0	0	0	0	1		
94	1.158	1 	D	1.154->1.158	puissante	0	0	0	0	1		
94	1.205	1 	D	1.203->1.205	ne	0	0	0	0	1		
97	1.6	2 	D	1.2->1.6	n' ... pas	0	0	0	0	3		
97	1.31	0 	D	1.30->1.31		0	0	0	0	0		
97	1.46	1 	D	1.44->1.46	ne	0	0	0	0	1		
98	1.21	2 	D	1.15->1.21	[E se] [C hâta] 	1	0	0	0	4		
98	1.36	1 	D	1.32->1.36	ne	0	0	0	0	1		
98	1.37	1 	D	1.32->1.37	pouvait	0	0	0	0	1		
98	1.60	1 	D	1.41->1.60	impunément	0	0	0	0	1		
99	1.62	2 	D	1.54->1.62	ne ... pas	0	0	0	0	3		
99	1.75	1 	D	1.69->1.75	subitement	0	0	0	0	1		
100	1.9	1 	D	1.2->1.9	fit	0	0	0	0	1		
100	1.68	1 	D	1.59->1.68	ne	0	0	0	0	1		
100	1.69	1 	D	1.59->1.69	pouvait	0	0	0	0	1		
100	1.84	2 	D	1.80->1.84	[R à] [C demi] 	1	0	0	0	4		
100	1.89	1 	D	1.74->1.89	dut	0	0	0	0	1		
100	1.91	1 	D	1.74->1.91	ainsi	0	0	0	0	1		
100	1.120	1 	D	1.109->1.120	vivement	0	0	0	0	1		
101	1.28	1 	D	1.26->1.28	ne	0	0	0	0	1		
101	1.29	1 	D	1.26->1.29	purent	0	0	0	0	1		
101	1.82	1 	D	1.68->1.82	parfaite	0	0	0	0	1		
